R	G	B	mA
0	0	0	0.5168701171875
0	0	1	0.5513994140625
0	0	3	0.6224804687500001
0	0	7	0.76212109375
0	0	15	1.0407460937500002
0	0	31	1.60028125
0	0	63	2.7157324218750003
0	0	127	4.944125976562501
0	0	255	9.421105468750001
0	1	0	0.552255859375
0	1	1	0.587998046875
0	1	3	0.6574824218750001
0	1	7	0.79605859375
0	1	15	1.0769853515625
0	1	31	1.6357871093750003
0	1	63	2.7509404296875
0	1	127	4.9785869140625
0	1	255	9.4203427734375
0	3	0	0.6223056640625001
0	3	1	0.6581054687500001
0	3	3	0.7277373046875001
0	3	7	0.8675419921875
0	3	15	1.1471240234375002
0	3	31	1.7059160156250002
0	3	63	2.8210292968750004
0	3	127	5.0500419921875
0	3	255	9.4200810546875
0	7	0	0.7630761718750001
0	7	1	0.7988828125
0	7	3	0.868279296875
0	7	7	1.0090048828125
0	7	15	1.2886103515625
0	7	31	1.8450126953125001
0	7	63	2.9609638671875005
0	7	127	5.1886240234375
0	7	255	9.414080078125
0	15	0	1.0430869140625
0	15	1	1.0802216796875002
0	15	3	1.1509267578125002
0	15	7	1.2884541015625
0	15	15	1.5699873046875001
0	15	31	2.1310146484375
0	15	63	3.2429179687500005
0	15	127	5.469180664062501
0	15	255	9.404432617187501
0	31	0	1.6066542968750004
0	31	1	1.6434423828125002
0	31	3	1.7125302734375
0	31	7	1.8529638671875002
0	31	15	2.1322138671875
0	31	31	2.6878193359375
0	31	63	3.8022070312500005
0	31	127	6.026387695312501
0	31	255	9.3828798828125
0	63	0	2.7283974609375
0	63	1	2.7652548828125
0	63	3	2.8367675781250004
0	63	7	2.974318359375
0	63	15	3.253484375
0	63	31	3.8103359375000005
0	63	63	4.922259765625
0	63	127	7.1433291015625
0	63	255	9.34874609375
0	127	0	4.9696806640625
0	127	1	4.969037109375
0	127	3	4.967859375000001
0	127	7	4.9629619140625
0	127	15	4.95247265625
0	127	31	4.931357421875001
0	127	63	4.887637695312501
0	127	127	7.111519531250001
0	127	255	9.282058593750001
0	255	0	9.4722138671875
0	255	1	9.4666875
0	255	3	9.4627158203125
0	255	7	9.45606640625
0	255	15	9.4441640625
0	255	31	9.4250234375
0	255	63	9.3851875
0	255	127	9.306265625
0	255	255	9.141666015625
1	0	0	0.5536601562500001
1	0	1	0.589423828125
1	0	3	0.6592197265625
1	0	7	0.7990527343750001
1	0	15	1.0771318359375002
1	0	31	1.6341689453125003
1	0	63	2.7490771484375003
1	0	127	4.973570312500001
1	0	255	9.40748828125
1	1	0	0.5892958984375001
1	1	1	0.624748046875
